Hybrid,Location,PlantHeight
G46,IAH4,129.42217674079194
G46,ILH1,161.92519177148543
G46,INH1,188.44869258751564
G46,MIH1,202.8639155201448
G46,MOH2,132.35398640537613
G46,NCH1,159.79130799792017
G46,NEH1,181.77089633235602
G46,NEH2,149.9094258802122
G46,NEH3,197.21707532448679
G46,NYH2,167.04362474874648
G46,NYH3,161.78806188388035
G46,TXH1,196.7851637745229
G46,TXH2,140.34001673492966
G46,TXH3,172.19290421644303
G46,WIH1,150.82917226380778
G46,WIH2,176.8618946164362
G46,WIH3,170.7854591602419
G47,DEH1,155.70379770226796
G47,GAH1,171.73974073364192
G47,GEH1,158.49508058455086
G47,IAH1,176.5293582375962
G47,IAH3,153.1970324706988
G47,IAH4,160.99211244472312
G47,ILH1,168.8057657957934
G47,INH1,153.00494225469572
G47,MIH1,169.7525138024747
G47,MOH2,120.47781982423288
G47,NCH1,159.05311358449046
G47,NEH1,163.31361742749073
G47,NEH2,144.58766525517646
G47,NEH3,175.48263496958538
G47,NYH2,185.11201902454832
G47,NYH3,129.76857972456594
G47,SCH1,114.756921371414
G47,TXH1,155.56784606570625
G47,TXH2,130.1713292110664
G47,TXH3,162.02421669257976
G47,WIH1,140.66048473994454
G47,WIH2,166.69320709257292
G47,WIH3,160.61677163637864
G48,DEH1,184.13817574686547
G48,GAH1,180.560220503926
G48,GAH2,161.07212171968047
G48,GEH1,198.23442715767754
G48,IAH1,179.4170003765322
G48,IAH3,200.28803679722864
G48,IAH4,170.55174774386722
G48,ILH1,176.32252610789348
G48,INH1,208.13358608180005
G48,MIH1,195.36133114194706
G48,NCH1,174.2821916878037
G48,NEH1,214.70398400577875
G48,NEH2,159.75702796576363
G48,NEH3,227.9464137490945
G48,NYH2,196.54540485485853
G48,NYH3,169.8101487586448
G48,SCH1,144.74296055447394
G48,TXH1,188.18124826690712
G48,TXH2,158.6057072556639
G48,TXH3,190.45859473717726
G48,WIH1,169.09486278454204
G48,WIH2,195.12758513717043
G48,WIH3,189.05114968097615
G49,DEH1,167.4750567134608
G49,GAH1,121.62180968553604
G49,GAH2,122.1036185974148
G49,GEH1,192.41606492155296
G49,IAH1,167.95819502487123
G49,IAH3,162.65751117604714
G49,IAH4,170.49806562135245
G49,ILH1,182.97633811962987
G49,MIH1,176.23229192191812
G49,MOH2,124.49907883542633
G49,NCH1,162.9708162820299
G49,NEH1,185.284102977338
G49,NEH2,145.03115938692707
G49,NEH3,179.73483467791507
G49,NYH2,216.08872113603357
G49,NYH3,178.13609466524838
